time,x,y,z
36.225,2.38,-0.00,-0.05
36.230,2.41,-0.12,0.04
36.236,2.34,-0.21,0.08
36.240,2.34,-0.35,0.08
36.246,2.36,-0.46,0.09
36.251,2.39,-0.57,0.06
36.256,2.34,-0.71,0.03
36.261,2.35,-0.80,0.09
36.277,2.32,-0.90,0.11
36.278,2.29,-1.03,0.13
36.278,2.22,-1.09,0.10
36.281,2.15,-1.23,0.07
36.290,2.09,-1.32,0.10
36.291,2.05,-1.45,0.11
36.296,2.05,-1.57,0.13
36.303,2.03,-1.68,0.10
36.306,2.03,-1.75,0.11
36.311,2.01,-1.84,0.09
36.318,1.98,-1.96,0.15
36.322,2.01,-2.05,0.19
36.326,1.98,-2.15,0.20
36.331,1.92,-2.28,0.17
36.336,1.66,-2.37,-0.11
36.341,1.81,-2.38,-0.83
36.346,1.81,-2.52,-1.25
36.351,1.83,-2.60,-1.45
36.356,1.60,-2.76,-1.48
36.362,1.50,-2.87,-1.37
36.367,1.32,-3.00,-1.01
36.372,1.30,-3.04,-0.54
36.379,1.23,-3.13,0.18
36.381,1.19,-3.16,0.63
36.386,1.23,-3.16,0.43
36.394,1.31,-3.25,0.43
36.397,1.25,-3.34,0.48
36.402,1.16,-3.48,0.56
36.427,0.98,-3.61,0.51
36.429,0.92,-3.71,0.44
36.429,0.92,-3.74,0.31
36.429,0.95,-3.79,0.33
36.429,0.97,-3.78,0.46
36.432,0.93,-3.83,0.56
36.437,0.88,-3.91,0.57
36.442,0.75,-4.01,0.47
36.447,0.59,-4.09,0.42
36.452,0.41,-4.19,0.47
36.456,0.33,-4.27,0.54
36.462,0.27,-4.30,0.63
36.467,0.32,-4.30,0.58
36.471,0.36,-4.31,0.55
36.478,0.31,-4.33,0.66
36.482,0.32,-4.38,0.87
36.487,0.23,-4.49,1.11
36.492,0.06,-4.56,1.24
36.497,-0.03,-4.63,1.28
36.502,-0.10,-4.68,1.39
36.507,-0.10,-4.72,1.57
36.525,-0.11,-4.71,1.63
36.526,-0.07,-4.73,1.55
36.527,-0.10,-4.74,1.28
36.528,-0.26,-4.74,0.80
36.542,-0.34,-4.73,0.34
36.543,-0.17,-4.76,-0.05
36.543,-0.28,-4.81,-0.41
36.552,-0.46,-4.81,-0.65
36.552,-0.39,-4.83,-0.66
36.557,-0.28,-4.81,-0.51
36.562,-0.34,-4.79,-0.36
36.569,-0.37,-4.78,-0.26
36.573,-0.30,-4.79,-0.08
36.576,-0.30,-4.82,0.26
36.583,-0.43,-4.87,0.68
36.587,-0.52,-4.92,0.92
36.592,-0.59,-4.95,1.12
36.597,-0.55,-4.91,1.08
36.602,-0.55,-4.90,0.94
36.607,-0.48,-4.85,0.77
36.612,-0.47,-4.79,0.60
36.618,-0.42,-4.78,0.39
36.626,-0.39,-4.75,0.15
36.627,-0.43,-4.76,-0.07
36.632,-0.46,-4.79,-0.13
36.641,-0.41,-4.76,-0.05
36.643,-0.42,-4.76,0.15
36.650,-0.38,-4.73,0.39
36.677,-0.35,-4.67,0.55
36.678,-0.27,-4.65,0.71
36.679,-0.22,-4.65,0.84
36.679,-0.18,-4.59,0.96
36.679,-0.20,-4.56,0.94
36.679,-0.21,-4.52,0.80
36.683,-0.16,-4.49,0.57
36.690,-0.16,-4.45,0.37
36.693,-0.10,-4.42,0.25
36.698,-0.03,-4.34,0.22
36.703,0.03,-4.26,0.18
36.708,0.02,-4.24,0.11
36.714,0.02,-4.20,0.09
36.718,0.04,-4.18,0.20
36.722,0.10,-4.15,0.39
36.728,0.14,-4.12,0.55
36.733,0.22,-4.08,0.59
36.738,0.28,-3.98,0.42
36.743,0.29,-3.92,0.09
36.748,0.37,-3.85,-0.33
36.753,0.48,-3.73,-0.49
36.759,0.61,-3.65,-0.49
36.765,0.66,-3.61,-0.43
36.768,0.71,-3.54,-0.29
36.774,0.68,-3.51,-0.18
36.781,0.71,-3.46,0.04
36.783,0.72,-3.44,0.27
36.813,0.80,-3.36,0.51
36.814,0.94,-3.26,0.54
36.814,1.17,-3.15,0.54
36.815,1.21,-3.05,0.47
36.815,1.26,-2.92,0.27
36.815,1.30,-2.84,0.11
36.820,1.38,-2.80,0.12
36.823,1.33,-2.74,0.15
36.829,1.32,-2.64,0.11
36.834,1.43,-2.60,0.04
36.839,1.42,-2.53,0.14
36.844,1.46,-2.42,0.32
36.849,1.53,-2.32,0.33
36.854,1.70,-2.17,0.31
36.858,1.81,-2.03,0.25
36.864,1.85,-1.91,0.19
36.869,1.84,-1.82,0.14
36.874,1.84,-1.77,0.04
36.878,1.82,-1.69,-0.18
36.885,1.85,-1.61,-0.28
36.889,1.90,-1.51,-0.35
36.894,1.98,-1.36,-0.39
36.906,2.08,-1.21,-0.34
36.907,2.16,-1.11,-0.28
36.910,2.23,-0.99,-0.21
36.914,2.22,-0.91,-0.12
36.942,2.16,-0.81,-0.18
36.943,2.12,-0.70,-0.19
36.944,2.14,-0.62,-0.07
36.944,2.18,-0.50,0.07
36.944,2.26,-0.36,0.04
36.946,2.42,-0.09,0.05
36.955,3.02,0.97,-0.06
36.956,3.89,3.07,-0.65
36.959,4.32,5.94,-2.78
36.964,2.13,5.45,-4.44
36.969,0.47,6.12,-4.84
36.975,0.04,4.75,-1.67
36.979,2.21,6.12,2.06
36.984,3.78,7.17,2.23
36.990,3.12,5.84,1.19
36.995,2.14,4.90,0.51
36.999,1.25,4.02,0.67
37.004,1.54,4.38,1.53
37.009,1.06,3.96,1.56
37.015,0.76,3.17,1.43
37.019,1.21,3.22,1.58
37.026,1.81,3.62,1.14
37.030,1.95,3.49,0.77
37.048,1.79,3.37,0.66
37.049,1.64,3.29,1.25
37.050,1.07,2.93,1.49
37.050,0.70,2.66,1.59
37.061,0.43,2.49,1.43
37.062,0.47,2.56,1.15
37.069,0.56,2.60,0.99
37.070,0.90,2.73,0.93
37.090,1.20,2.93,1.02
37.091,1.24,3.20,1.20
37.092,0.78,3.11,2.11
37.092,0.32,2.87,2.96
37.095,0.73,3.59,2.72
37.100,1.21,4.36,2.36
37.104,1.05,4.57,2.45
37.111,0.78,4.75,2.63
37.115,0.42,4.96,2.83
37.119,0.67,5.07,3.03
37.124,1.11,5.06,3.39
37.130,1.43,5.13,3.58
37.134,1.30,5.09,3.36
37.139,0.90,4.85,2.67
37.147,0.49,4.55,1.88
37.155,0.33,4.28,1.30
37.156,0.28,4.19,1.07
37.160,0.31,4.09,0.90
37.175,0.35,3.93,0.69
37.176,0.30,3.67,0.48
37.176,0.24,3.47,0.53
37.188,0.38,3.38,0.56
37.189,0.60,3.29,0.47
37.190,0.71,3.08,0.30
37.195,0.59,2.88,0.07
37.201,0.42,2.68,-0.05
37.205,0.27,2.53,-0.01
37.210,0.08,2.39,0.12
37.215,-0.06,2.23,0.08
37.220,-0.06,2.16,0.11
37.225,0.01,2.19,0.22
37.230,0.19,2.24,0.44
37.236,0.29,2.17,0.48
37.241,0.21,2.05,0.40
37.245,0.05,1.88,0.22
37.255,-0.04,1.82,0.05
37.256,0.06,1.88,-0.02
37.261,0.28,2.05,-0.09
37.266,0.40,2.23,-0.15
37.285,0.45,2.28,-0.15
37.286,0.56,2.23,-0.06
37.286,0.55,2.16,0.10
37.286,0.56,2.07,0.22
37.293,0.52,1.94,0.29
37.295,0.42,1.79,0.24
37.300,0.29,1.64,0.09
37.307,0.11,1.53,-0.00
37.312,-0.03,1.45,0.05
37.316,-0.02,1.37,0.18
37.321,0.16,1.30,0.22
37.325,0.25,1.26,0.22
37.331,0.29,1.17,0.12
37.335,0.23,1.04,0.05
37.342,0.11,0.84,0.05
37.346,-0.05,0.63,0.04
37.351,-0.18,0.45,0.03
37.361,-0.15,0.38,-0.10
37.361,0.03,0.38,-0.19
37.366,0.28,0.43,-0.26
37.371,0.32,0.44,-0.26
37.391,0.29,0.49,-0.21
37.392,0.39,0.63,-0.04
37.393,0.51,0.85,0.12
37.395,0.51,0.95,0.32
37.396,0.45,0.93,0.41
37.401,0.33,0.87,0.38
37.405,0.26,0.89,0.16
37.411,0.14,0.90,-0.06
37.416,0.05,0.86,-0.19
37.421,0.04,0.92,-0.18
37.427,0.07,0.91,-0.08
37.431,0.02,0.78,-0.11
37.436,-0.05,0.57,-0.17
37.441,-0.00,0.26,-0.18
37.447,0.13,-0.06,-0.13
37.451,0.29,-0.27,0.05
37.456,0.32,-0.49,0.10
37.462,0.26,-0.74,0.01
37.467,0.22,-0.83,-0.07
37.472,0.26,-0.76,0.01
37.476,0.06,-0.91,0.10
37.486,-0.12,-1.08,0.28
37.487,-0.13,-1.13,0.44
37.496,0.00,-0.96,0.43
37.496,0.24,-0.63,0.36
37.524,0.37,-0.36,0.31
37.525,0.31,-0.25,0.29
37.525,0.14,-0.33,0.46
37.525,-0.09,-0.35,0.55
37.525,-0.17,-0.30,0.57
37.526,-0.09,-0.25,0.54
37.536,-0.08,-0.28,0.46
37.547,0.10,-0.40,0.37
37.548,0.10,-0.64,0.25
37.548,0.13,-0.81,0.21
37.554,0.05,-1.05,0.23
37.556,-0.07,-1.26,0.35
37.561,-0.07,-1.34,0.43
37.567,0.02,-1.37,0.39
37.571,0.09,-1.44,0.20
37.576,0.17,-1.31,0.13
37.581,0.18,-1.28,0.10
37.587,0.16,-1.54,0.14
37.592,-0.06,-1.81,0.17
37.596,-0.09,-1.87,0.09
37.605,0.14,-1.63,-0.26
37.606,0.20,-1.16,-0.33
37.612,0.36,-0.83,-0.26
37.616,0.20,-0.76,-0.09
37.622,-0.13,-0.75,0.04
37.627,-0.37,-0.65,0.11
37.632,-0.38,-0.50,-0.02
37.638,-0.38,-0.31,-0.14
37.642,-0.20,-0.15,-0.26
37.647,0.06,-0.05,-0.25
37.652,0.18,-0.08,-0.17
37.657,0.29,-0.26,0.01
37.662,-0.11,-0.59,-0.03
37.667,-0.15,-0.85,-0.28
37.674,0.09,-0.91,0.02
37.677,0.24,-0.87,-0.12
37.682,-0.08,-0.80,-0.05
37.687,0.54,-0.75,-0.22
37.695,0.17,-0.77,-0.09
37.700,-0.16,-0.84,-0.05
37.702,-0.36,-0.88,-0.07
37.710,-0.18,-0.71,-0.42
37.713,-0.26,-0.53,-0.89
37.718,0.02,-0.31,-0.83
37.722,0.01,-0.25,-0.92
37.729,-0.10,-0.46,-1.51
37.733,-0.34,-0.57,-1.80
37.738,-0.19,-0.55,-1.63
37.750,-0.05,-0.55,-1.37
37.750,-0.03,-0.58,-1.25
37.759,-0.09,-0.67,-1.20
37.759,-0.01,-0.76,-1.12
37.785,0.03,-0.79,-0.89
37.786,0.03,-0.79,-0.68
37.786,0.01,-0.75,-0.50
37.786,0.05,-0.72,-0.33
37.786,0.06,-0.63,-0.18
37.789,0.16,-0.48,0.02
37.793,0.15,-0.38,0.24
37.799,0.10,-0.25,0.47
37.812,0.10,-0.14,0.54
37.813,0.05,-0.08,0.55
37.815,0.05,-0.03,0.55
37.818,0.03,0.01,0.63
37.822,0.08,0.03,0.62
37.827,0.06,0.12,0.54
37.832,-0.02,0.16,0.44
37.837,-0.03,0.03,0.26
37.842,0.02,-0.10,-0.01
37.850,0.01,-0.17,-0.37
37.852,-0.11,-0.26,-0.70
37.858,-0.23,-0.42,-0.76
37.867,-0.21,-0.43,-0.53
37.871,-0.19,-0.44,-0.15
